time (min)	GST (deg)	GST (min)	GST (sec)	GST (hour)	GST (min)	GST (sec)
0	188.0000	36.0000	51.9659	12.0000	34.0000	27.4644
10	191.0000	7.0000	16.6071	12.0000	44.0000	29.1071
20	193.0000	37.0000	41.2483	12.0000	54.0000	30.7499
30	196.0000	8.0000	5.8895	13.0000	4.0000	32.3926
40	198.0000	38.0000	30.5307	13.0000	14.0000	34.0354
50	201.0000	8.0000	55.1719	13.0000	24.0000	35.6781
60	203.0000	39.0000	19.8130	13.0000	34.0000	37.3209
70	206.0000	9.0000	44.4542	13.0000	44.0000	38.9636
80	208.0000	40.0000	9.0954	13.0000	54.0000	40.6064
90	211.0000	10.0000	33.7366	14.0000	4.0000	42.2491
100	213.0000	40.0000	58.3778	14.0000	14.0000	43.8919
110	216.0000	11.0000	23.0190	14.0000	24.0000	45.5346
120	218.0000	41.0000	47.6601	14.0000	34.0000	47.1773
130	221.0000	12.0000	12.3013	14.0000	44.0000	48.8201
140	223.0000	42.0000	36.9425	14.0000	54.0000	50.4628
150	226.0000	13.0000	1.5837	15.0000	4.0000	52.1056
160	228.0000	43.0000	26.2249	15.0000	14.0000	53.7483
170	231.0000	13.0000	50.8661	15.0000	24.0000	55.3911
180	233.0000	44.0000	15.5073	15.0000	34.0000	57.0338
190	236.0000	14.0000	40.1484	15.0000	44.0000	58.6766
200	238.0000	45.0000	4.7896	15.0000	55.0000	0.3193
210	241.0000	15.0000	29.4308	16.0000	5.0000	1.9621
220	243.0000	45.0000	54.0720	16.0000	15.0000	3.6048
230	246.0000	16.0000	18.7132	16.0000	25.0000	5.2475
240	248.0000	46.0000	43.3544	16.0000	35.0000	6.8903
250	251.0000	17.0000	7.9955	16.0000	45.0000	8.5330
260	253.0000	47.0000	32.6367	16.0000	55.0000	10.1758
270	256.0000	17.0000	57.2779	17.0000	5.0000	11.8185
280	258.0000	48.0000	21.9191	17.0000	15.0000	13.4613
290	261.0000	18.0000	46.5603	17.0000	25.0000	15.1040
300	263.0000	49.0000	11.2015	17.0000	35.0000	16.7468
310	266.0000	19.0000	35.8426	17.0000	45.0000	18.3895
320	268.0000	50.0000	0.4838	17.0000	55.0000	20.0323
330	271.0000	20.0000	25.1250	18.0000	5.0000	21.6750
340	273.0000	50.0000	49.7662	18.0000	15.0000	23.3177
350	276.0000	21.0000	14.4074	18.0000	25.0000	24.9605
360	278.0000	51.0000	39.0486	18.0000	35.0000	26.6032
370	281.0000	22.0000	3.6898	18.0000	45.0000	28.2460
380	283.0000	52.0000	28.3309	18.0000	55.0000	29.8887
390	286.0000	22.0000	52.9721	19.0000	5.0000	31.5315
400	288.0000	53.0000	17.6133	19.0000	15.0000	33.1742
410	291.0000	23.0000	42.2545	19.0000	25.0000	34.8170
420	293.0000	54.0000	6.8957	19.0000	35.0000	36.4597
430	296.0000	24.0000	31.5369	19.0000	45.0000	38.1025
440	298.0000	54.0000	56.1780	19.0000	55.0000	39.7452
450	301.0000	25.0000	20.8192	20.0000	5.0000	41.3879
460	303.0000	55.0000	45.4604	20.0000	15.0000	43.0307
470	306.0000	26.0000	10.1016	20.0000	25.0000	44.6734
480	308.0000	56.0000	34.7428	20.0000	35.0000	46.3162
490	311.0000	26.0000	59.3840	20.0000	45.0000	47.9589
500	313.0000	57.0000	24.0251	20.0000	55.0000	49.6017
510	316.0000	27.0000	48.6663	21.0000	5.0000	51.2444
520	318.0000	58.0000	13.3075	21.0000	15.0000	52.8872
530	321.0000	28.0000	37.9487	21.0000	25.0000	54.5299
540	323.0000	59.0000	2.5899	21.0000	35.0000	56.1727
550	326.0000	29.0000	27.2311	21.0000	45.0000	57.8154
560	328.0000	59.0000	51.8723	21.0000	55.0000	59.4582
570	331.0000	30.0000	16.5134	22.0000	6.0000	1.1009
580	334.0000	0.0000	41.1546	22.0000	16.0000	2.7436
590	336.0000	31.0000	5.7958	22.0000	26.0000	4.3864
600	339.0000	1.0000	30.4370	22.0000	36.0000	6.0291
610	341.0000	31.0000	55.0782	22.0000	46.0000	7.6719
620	344.0000	2.0000	19.7194	22.0000	56.0000	9.3146
630	346.0000	32.0000	44.3605	23.0000	6.0000	10.9574
640	349.0000	3.0000	9.0017	23.0000	16.0000	12.6001
650	351.0000	33.0000	33.6429	23.0000	26.0000	14.2429
660	354.0000	3.0000	58.2841	23.0000	36.0000	15.8856
670	356.0000	34.0000	22.9253	23.0000	46.0000	17.5284
680	359.0000	4.0000	47.5665	23.0000	56.0000	19.1711
690	1.0000	35.0000	12.2076	0.0000	6.0000	20.8138
700	4.0000	5.0000	36.8488	0.0000	16.0000	22.4566
