Time(YYYY-MM-DD HH:MM:SS)	JD(day)	PRN	Xin(km)	Yin(km)	Zin(km)	x(km)	y(km)	z(km)
2014-04-03 00:00:00	2456750.50000000	PG31	-20700.501835	-624.658748	-16656.946705	20424.732348	-3425.096098	-16656.946705
2014-04-03 00:15:00	2456750.51041667	PG31	-18906.683843	-3059.978443	-18385.464726	19054.155354	-1940.444732	-18385.464726
2014-04-03 00:30:00	2456750.52083333	PG31	-16787.191151	-5442.566328	-19797.192552	17645.673415	-248.041750	-19797.192552
2014-04-03 00:45:00	2456750.53125000	PG31	-14377.630953	-7731.085631	-20866.739707	16242.579757	1632.347909	-20866.739707
2014-04-03 01:00:00	2456750.54166667	PG31	-11718.881211	-9885.581192	-21574.516984	14885.133320	3672.832473	-21574.516984
2014-04-03 01:15:00	2456750.55208333	PG31	-8856.429516	-11868.204938	-21907.154381	13609.026915	5838.237633	-21907.154381
2014-04-03 01:30:00	2456750.56250000	PG31	-5839.610893	-13643.919327	-21857.813427	12444.033128	8087.251046	-21857.813427
2014-04-03 01:45:00	2456750.57291667	PG31	-2720.755810	-15181.163252	-21426.382863	11412.885107	10373.826844	-21426.382863
2014-04-03 02:00:00	2456750.58333333	PG31	445.737142	-16452.464750	-20619.548693	10530.441014	12648.797966	-20619.548693
2014-04-03 02:15:00	2456750.59375000	PG31	3604.386516	-17434.985132	-19450.732416	9803.170013	14861.634042	-19450.732416
2014-04-03 02:30:00	2456750.60416667	PG31	6699.651117	-18110.980084	-17939.894397	9228.984660	16962.274813	-17939.894397
2014-04-03 02:45:00	2456750.61458333	PG31	9676.968697	-18468.164843	-16113.202985	8797.430012	18902.964345	-16113.202985
2014-04-03 03:00:00	2456750.62500000	PG31	12483.786556	-18499.972685	-14002.573848	8490.224189	20640.009916	-14002.573848
2014-04-03 03:15:00	2456750.63541667	PG31	15070.559724	-18205.698670	-11645.087891	8282.129539	22135.391678	-11645.087891
2014-04-03 03:30:00	2456750.64583333	PG31	17391.692639	-17590.523747	-9082.299980	8142.118592	23358.154965	-9082.299980
2014-04-03 03:45:00	2456750.65625000	PG31	19406.401519	-16665.417757	-6359.454114	8034.785577	24285.526341	-6359.454114
2014-04-03 04:00:00	2456750.66666667	PG31	21079.476767	-15446.923486	-3524.623600	7921.943163	24903.706601	-3524.623600
2014-04-03 04:15:00	2456750.67708333	PG31	22381.927732	-13956.827424	-627.797035	7764.335845	25208.308345	-627.797035
2014-04-03 04:30:00	2456750.68750000	PG31	23291.495870	-12221.726211	2280.067790	7523.396574	25204.421744	2280.067790
2014-04-03 04:45:00	2456750.69791667	PG31	23793.026443	-10272.500573	5147.999422	7162.971926	24906.308609	5147.999422
2014-04-03 05:00:00	2456750.70833333	PG31	23878.693346	-8143.710912	7925.955535	6650.943464	24336.741244	7925.955535
2014-04-03 05:15:00	2456750.71875000	PG31	23548.075984	-5872.930329	10565.732019	5960.678568	23526.017602	10565.732019
2014-04-03 05:30:00	2456750.72916667	PG31	22808.091322	-3500.031814	13021.819432	5072.252657	22510.697578	13021.819432
2014-04-03 05:45:00	2456750.73958333	PG31	21672.787913	-1066.446610	15252.190365	3973.395641	21332.115961	15252.190365
2014-04-03 06:00:00	2456750.75000000	PG31	20163.011856	1385.589663	17219.004187	2660.128110	20034.735443	17219.004187
2014-04-03 06:15:00	2456750.76041667	PG31	18305.957097	3813.787450	18889.218729	1137.066351	18664.407841	18889.218729
2014-04-03 06:30:00	2456750.77083333	PG31	16134.614176	6176.535990	20235.101509	-582.610844	17266.613335	20235.101509
2014-04-03 06:45:00	2456750.78125000	PG31	13687.132629	8433.605693	21234.636036	-2477.527088	15884.746272	21234.636036
2014-04-03 07:00:00	2456750.79166667	PG31	11006.112548	10546.809387	21871.821381	-4518.785984	14558.512111	21871.821381
2014-04-03 07:15:00	2456750.80208333	PG31	8137.840735	12480.613507	22136.865413	-6670.931076	13322.493907	22136.865413
2014-04-03 07:30:00	2456750.81250000	PG31	5131.486270	14202.692089	22026.274029	-8893.148288	12204.938650	22026.274029
2014-04-03 07:45:00	2456750.82291667	PG31	2038.269413	15684.418143	21542.840077	-11140.663321	11226.804329	21542.840077
2014-04-03 08:00:00	2456750.83333333	PG31	-1089.383256	16901.288352	20695.536774	-13366.280721	10401.098189	20695.536774
2014-04-03 08:15:00	2456750.84375000	PG31	-4198.685688	17833.278358	19499.321054	-15522.007677	9732.525683	19499.321054
2014-04-03 08:30:00	2456750.85416667	PG31	-7237.330593	18465.126791	17974.852761	-17560.703888	9217.458460	17974.852761
2014-04-03 08:45:00	2456750.86458333	PG31	-10154.309320	18786.547026	16148.135730	-19437.698972	8844.218766	16148.135730
2014-04-03 09:00:00	2456750.87500000	PG31	-12900.704643	18792.366154	14050.086914	-21112.320896	8593.666989	14050.086914
2014-04-03 09:15:00	2456750.88541667	PG31	-15430.448247	18482.591085	11716.039664	-22549.282433	8440.069199	11716.039664
2014-04-03 09:30:00	2456750.89583333	PG31	-17701.035305	17862.401970	9185.187311	-23719.877805	8352.212396	9185.187311
2014-04-03 09:45:00	2456750.90625000	PG31	-19674.188729	16942.073352	6499.973200	-24602.948044	8294.727189	6499.973200
2014-04-03 10:00:00	2456750.91666667	PG31	-21316.465909	15736.823680	3705.433543	-25185.581264	8229.570753	3705.433543
2014-04-03 10:15:00	2456750.92708333	PG31	-22599.800765	14266.594068	848.499699	-25463.522688	8117.617461	848.499699
2014-04-03 10:30:00	2456750.93750000	PG31	-23501.973872	12555.757533	-2022.732981	-25441.278692	7920.300601	-2022.732981
2014-04-03 10:45:00	2456750.94791667	PG31	-24007.003475	10632.760406	-4859.762093	-25131.909303	7601.246246	-4859.762093
2014-04-03 11:00:00	2456750.95833333	PG31	-24105.450185	8529.698251	-7614.452363	-24556.514023	7127.839779	-7614.452363
2014-04-03 11:15:00	2456750.96875000	PG31	-23794.628368	6281.829420	-10239.817742	-23743.426545	6472.666835	-10239.817742
2014-04-03 11:30:00	2456750.97916667	PG31	-23078.717591	3927.030390	-12690.801060	-22727.144348	5614.773649	-12690.801060
2014-04-03 11:45:00	2456750.98958333	PG31	-21968.768173	1505.198162	-14925.039887	-21547.029211	4540.696945	-14925.039887
2014-04-03 12:00:00	2456751.00000000	PG31	-20482.595816	-942.393613	-16903.606300	-20245.823771	3245.220624	-16903.606300
2014-04-03 12:15:00	2456751.01041667	PG31	-18644.561655	-3373.776693	-18591.707422	-18868.037238	1731.825415	-18591.707422
2014-04-03 12:30:00	2456751.02083333	PG31	-16485.235793	-5746.998869	-19959.332955	-17458.259681	12.808264	-19959.332955
2014-04-03 12:45:00	2456751.03125000	PG31	-14040.944443	-8020.851963	-20981.835604	-16059.468664	-1890.939793	-20981.835604
2014-04-03 13:00:00	2456751.04166667	PG31	-11353.203390	-10155.604604	-21640.430349	-14711.394128	-3950.495525	-21640.430349
2014-04-03 13:15:00	2456751.05208333	PG31	-8468.043177	-12113.725868	-21922.599031	-13449.006879	-6129.789852	-21922.599031
2014-04-03 13:30:00	2456751.06250000	PG31	-5435.234575	-13860.584895	-21822.387800	-12301.192881	-8386.789745	-21822.387800
2014-04-03 13:45:00	2456751.07291667	PG31	-2307.425964	-15365.110942	-21340.586572	-11289.669494	-10674.933796	-21340.586572
2014-04-03 14:00:00	2456751.08333333	PG31	860.792495	-16600.398177	-20484.781904	-10428.191112	-12944.767804	-20484.781904
2014-04-03 14:15:00	2456751.09375000	PG31	4013.880148	-17544.239965	-19269.277431	-9722.080456	-15145.716933	-19269.277431
2014-04-03 14:30:00	2456751.10416667	PG31	7096.372155	-18179.578307	-17714.879324	-9168.108520	-17227.923594	-17714.879324
2014-04-03 14:45:00	2456751.11458333	PG31	10053.918377	-18494.855804	-15848.547866	-8754.731405	-19144.075950	-15848.547866
2014-04-03 15:00:00	2456751.12500000	PG31	12834.310992	-18484.259688	-13702.920105	-8462.676721	-20851.150989	-13702.920105
2014-04-03 15:15:00	2456751.13541667	PG31	15388.476495	-18147.850266	-11315.712527	-8265.856624	-22311.998843	-11315.712527
2014-04-03 15:30:00	2456751.14583333	PG31	17671.408144	-17491.569293	-8729.016389	-8132.569775	-23496.701279	-8729.016389
2014-04-03 15:45:00	2456751.15625000	PG31	19643.016247	-16527.127289	-5988.501820	-8026.941362	-24383.646899	-5988.501820
2014-04-03 16:00:00	2456751.16666667	PG31	21268.875981	-15271.772417	-3142.549572	-7910.539561	-24960.278085	-3142.549572
2014-04-03 16:15:00	2456751.17708333	PG31	22520.855543	-13747.947029	-241.331444	-7744.099018	-25223.479385	-241.331444
2014-04-03 16:30:00	2456751.18750000	PG31	23377.611164	-11982.841262	2664.138365	-7489.277551	-25179.593130	2664.138365
2014-04-03 16:45:00	2456751.19791667	PG31	23824.939726	-10007.855835	5522.958348	-7110.371500	-24844.064653	5522.958348
2014-04-03 17:00:00	2456751.20833333	PG31	23855.984125	-7857.988459	8285.279165	-6575.917915	-24240.735648	8285.279165
2014-04-03 17:15:00	2456751.21875000	PG31	23471.290904	-5571.159815	10903.206775	-5860.117896	-23400.819145	10903.206775
2014-04-03 17:30:00	2456751.22916667	PG31	22678.723770	-3187.495919	13331.650575	-4944.024317	-22361.602483	13331.650575
2014-04-03 17:45:00	2456751.23958333	PG31	21493.240263	-748.583845	15529.100493	-3816.448417	-21164.935064	15529.100493
2014-04-03 18:00:00	2456751.25000000	PG31	19936.541896	1703.282685	17458.319891	-2474.552517	-19855.565077	17458.319891
2014-04-03 18:15:00	2456751.26041667	PG31	18036.610426	4125.852324	19086.944262	-924.109845	-18479.393769	19086.944262
2014-04-03 18:30:00	2456751.27083333	PG31	15827.144561	6477.645685	20387.978726	820.573752	-17081.717047	20387.978726
2014-04-03 18:45:00	2456751.28125000	PG31	13346.912342	8718.653058	21340.190228	2737.067955	-15705.522571	21340.190228
2014-04-03 19:00:00	2456751.29166667	PG31	10639.034753	10810.989762	21928.392958	4795.535363	-14389.906209	21928.392958
2014-04-03 19:15:00	2456751.30208333	PG31	7750.215895	12719.500387	22143.627646	6959.726411	-13168.665263	22143.627646
2014-04-03 19:30:00	2456751.31250000	PG31	4729.934433	14412.305091	21983.237288	9188.210839	-12069.117588	21983.237288
2014-04-03 19:45:00	2456751.32291667	PG31	1629.610134	15861.282651	21450.843143	11435.797266	-11111.186139	21450.843143
2014-04-03 20:00:00	2456751.33333333	PG31	-1498.241788	17042.486436	20556.225902	13655.086990	-10306.777948	20556.225902
2014-04-03 20:15:00	2456751.34375000	PG31	-4600.856907	17936.490660	19315.117562	15798.104738	-9659.475564	19315.117562
2014-04-03 20:30:00	2456751.35416667	PG31	-7626.057855	18528.665206	17748.909894	17817.947581	-9164.547819	17748.909894
2014-04-03 20:45:00	2456751.36458333	PG31	-10523.071117	18809.378053	15884.285624	19670.393688	-8809.275829	15884.285624
2014-04-03 21:00:00	2456751.37500000	PG31	-13243.315598	18774.124868	13752.778431	21315.414733	-8573.579611	13752.778431
2014-04-03 21:15:00	2456751.38541667	PG31	-15741.154907	18423.585708	11390.267910	22718.539595	-8430.920876	11390.267910
2014-04-03 21:30:00	2456751.39583333	PG31	-17974.605721	17763.609043	8836.415631	23852.022252	-8349.448577	8836.415631
2014-04-03 21:45:00	2456751.40625000	PG31	-19905.994892	16805.123547	6134.048484	24695.773388	-8293.345939	6134.048484
2014-04-03 22:00:00	2456751.41666667	PG31	-21502.558080	15563.978335	3328.495693	25238.023003	-8224.331006	3328.495693
2014-04-03 22:15:00	2456751.42708333	PG31	-22736.972740	14060.712529	466.886200	25475.690076	-8103.257453	466.886200
2014-04-03 22:30:00	2456751.43750000	PG31	-23587.818247	12320.255487	-2402.586416	25414.444904	-7891.758684	-2402.586416
2014-04-03 22:45:00	2456751.44791667	PG31	-24039.955954	10371.559456	-5231.423679	25068.459940	-7553.876096	-5231.423679
2014-04-03 23:00:00	2456751.45833333	PG31	-24084.822006	8247.167060	-7971.598013	24459.855429	-7057.612060	-7971.598013
