Time(YYYY-MM-DD HH:MM:SS)	JD(day)	lon(deg)	lon(min)	lon(sec)	lat(deg)	lat(min)	lat(sec)	H(km)
2014-04-03 00:00:00	2456750.50000000	-9	31	10.413057	-38	48	34.716902	20206.337118
2014-04-03 00:15:00	2456750.51041667	-5	48	53.509748	-43	49	44.746123	20178.039064
2014-04-03 00:30:00	2456750.52083333	0	-48	19.232742	-48	17	9.122533	20149.937916
2014-04-03 00:45:00	2456750.53125000	5	44	19.847306	-51	57	48.011978	20122.523413
2014-04-03 01:00:00	2456750.54166667	13	51	38.099126	-54	36	4.103293	20096.275557
2014-04-03 01:15:00	2456750.55208333	23	13	9.149428	-55	56	33.689448	20071.655791
2014-04-03 01:30:00	2456750.56250000	33	1	9.953068	-55	49	27.021739	20049.098368
2014-04-03 01:45:00	2456750.57291667	42	16	10.206587	-54	15	11.073244	20029.002130
2014-04-03 02:00:00	2456750.58333333	50	13	18.376956	-51	24	11.412237	20011.722874
2014-04-03 02:15:00	2456750.59375000	56	35	23.943145	-47	31	53.341015	19997.566518
2014-04-03 02:30:00	2456750.60416667	61	26	59.571684	-42	53	34.376840	19986.783208
2014-04-03 02:45:00	2456750.61458333	65	2	33.919154	-37	41	51.308648	19979.562542
2014-04-03 03:00:00	2456750.62500000	67	38	25.038197	-32	6	16.630924	19976.030013
2014-04-03 03:15:00	2456750.63541667	69	29	10.577807	-26	13	50.170464	19976.244760
2014-04-03 03:30:00	2456750.64583333	70	46	57.408986	-20	9	40.551450	19980.198672
2014-04-03 03:45:00	2456750.65625000	71	41	36.147665	-13	57	40.322322	19987.816847
2014-04-03 04:00:00	2456750.66666667	72	21	14.320625	-7	40	52.225811	19998.959376
2014-04-03 04:15:00	2456750.67708333	72	52	50.881730	-1	21	48.375262	20013.424380
2014-04-03 04:30:00	2456750.68750000	73	22	47.615084	4	57	15.207387	20030.952212
2014-04-03 04:45:00	2456750.69791667	73	57	17.783372	11	14	6.497588	20051.230666
2014-04-03 05:00:00	2456750.70833333	74	42	53.904295	17	26	25.930088	20073.901106
2014-04-03 05:15:00	2456750.71875000	75	46	56.714611	23	31	33.628219	20098.565284
2014-04-03 05:30:00	2456750.72916667	77	18	6.558772	29	26	13.480249	20124.792756
2014-04-03 05:45:00	2456750.73958333	79	26	55.670659	35	6	11.901597	20152.128685
2014-04-03 06:00:00	2456750.75000000	82	26	12.282048	40	25	49.245335	20180.101880
2014-04-03 06:15:00	2456750.76041667	86	30	49.521028	45	17	23.748881	20208.232949
2014-04-03 06:30:00	2456750.77083333	91	55	57.156873	49	30	35.189929	20236.042386
2014-04-03 06:45:00	2456750.78125000	98	51	53.779982	52	52	13.975829	20263.058500
2014-04-03 07:00:00	2456750.79166667	107	14	37.357327	55	7	30.844592	20288.825059
2014-04-03 07:15:00	2456750.80208333	116	35	54.096489	56	3	26.157538	20312.908552
2014-04-03 07:30:00	2456750.81250000	126	4	44.445975	55	33	55.258693	20334.904994
2014-04-03 07:45:00	2456750.82291667	134	46	45.642285	53	42	52.770791	20354.446175
2014-04-03 08:00:00	2456750.83333333	142	6	41.010718	50	42	16.355217	20371.205336
2014-04-03 08:15:00	2456750.84375000	147	54	42.072550	46	47	4.913404	20384.902154
2014-04-03 08:30:00	2456750.85416667	152	18	19.495707	42	11	11.875461	20395.307054
2014-04-03 08:45:00	2456750.86458333	155	32	3.495703	37	5	43.585775	20402.244750
2014-04-03 09:00:00	2456750.87500000	157	51	5.254372	31	38	56.656523	20405.597025
2014-04-03 09:15:00	2456750.88541667	159	28	45.871444	25	56	52.175194	20405.304669
2014-04-03 09:30:00	2456750.89583333	160	36	6.770809	20	3	53.698528	20401.368609
2014-04-03 09:45:00	2456750.90625000	161	22	7.657709	14	3	18.346913	20393.850143
2014-04-03 10:00:00	2456750.91666667	161	54	17.359982	7	57	39.980420	20382.870302
2014-04-03 10:15:00	2456750.92708333	162	19	4.915804	1	49	6.281767	20368.608312
2014-04-03 10:30:00	2456750.93750000	162	42	27.902666	-4	20	28.074350	20351.299149
2014-04-03 10:45:00	2456750.94791667	163	10	18.657195	-10	29	10.249033	20331.230194
2014-04-03 11:00:00	2456750.95833333	163	48	50.250999	-16	34	58.383061	20308.736986
2014-04-03 11:15:00	2456750.96875000	164	45	4.319814	-22	35	29.405117	20284.198132
2014-04-03 11:30:00	2456750.97916667	166	7	22.328826	-28	27	43.640893	20258.029364
2014-04-03 11:45:00	2456750.98958333	168	5	59.764390	-34	7	43.979950	20230.676868
2014-04-03 12:00:00	2456751.00000000	170	53	36.507879	-39	30	7.160423	20202.609898
2014-04-03 12:15:00	2456751.01041667	174	45	20.636620	-44	27	25.922541	20174.312832
2014-04-03 12:30:00	2456751.02083333	179	57	28.673713	-48	49	26.682479	20146.276767
2014-04-03 12:45:00	2456751.03125000	-173	17	4.438035	-52	22	44.599074	20118.990796
2014-04-03 13:00:00	2456751.04166667	-164	58	7.654503	-54	51	30.578023	20092.933150
2014-04-03 13:15:00	2456751.05208333	-155	29	50.801982	-56	0	44.768415	20068.562363
2014-04-03 13:30:00	2456751.06250000	-145	42	51.675297	-55	41	47.449621	20046.308679
2014-04-03 13:45:00	2456751.07291667	-136	36	11.342479	-53	56	34.185828	20026.565874
2014-04-03 14:00:00	2456751.08333333	-128	51	16.607145	-50	56	30.660909	20009.683710
2014-04-03 14:15:00	2456751.09375000	-122	41	47.491277	-46	57	16.073610	19995.961192
2014-04-03 14:30:00	2456751.10416667	-118	1	13.341597	-42	13	51.806239	19985.640808
2014-04-03 14:45:00	2456751.11458333	-114	34	29.921696	-36	58	29.642503	19978.903898
2014-04-03 15:00:00	2456751.12500000	-112	5	25.199684	-31	20	19.470130	19975.867257
2014-04-03 15:15:00	2456751.13541667	-110	19	40.797517	-25	26	4.027116	19976.581067
2014-04-03 15:30:00	2456751.14583333	-109	5	29.486526	-19	20	40.015636	19981.028181
2014-04-03 15:45:00	2456751.15625000	-108	13	16.377123	-13	7	52.041219	19989.124768
2014-04-03 16:00:00	2456751.16666667	-107	35	4.982498	-6	50	37.804137	20000.722280
2014-04-03 16:15:00	2456751.17708333	-107	4	3.018517	0	-31	26.520333	20015.610672
2014-04-03 16:30:00	2456751.18750000	-106	33	51.441752	5	47	26.983476	20033.522750
2014-04-03 16:45:00	2456751.19791667	-105	58	16.039435	12	3	50.353658	20054.139551
2014-04-03 17:00:00	2456751.20833333	-105	10	39.608092	18	15	22.111557	20077.096567
2014-04-03 17:15:00	2456751.21875000	-104	3	32.706759	24	19	18.579837	20101.990696
2014-04-03 17:30:00	2456751.22916667	-102	28	1.965399	30	12	17.382068	20128.387712
2014-04-03 17:45:00	2456751.23958333	-100	13	18.115505	35	49	55.332530	20155.830133
2014-04-03 18:00:00	2456751.25000000	-97	6	14.435317	41	6	18.780798	20183.845285
2014-04-03 18:15:00	2456751.26041667	-92	51	46.219323	45	53	26.846750	20211.953454
2014-04-03 18:30:00	2456751.27083333	-87	14	59.035673	50	0	36.400448	20239.675961
2014-04-03 18:45:00	2456751.28125000	-80	6	50.785204	53	14	18.039484	20266.543040
2014-04-03 19:00:00	2456751.29166667	-71	34	8.375731	55	19	41.723077	20292.101430
2014-04-03 19:15:00	2456751.30208333	-62	8	35.710683	56	4	25.175256	20315.921551
2014-04-03 19:30:00	2456751.31250000	-52	43	4.825029	55	23	38.429020	20337.604221
2014-04-03 19:45:00	2456751.32291667	-44	10	30.590547	53	22	33.417039	20356.786816
2014-04-03 20:00:00	2456751.33333333	-37	2	43.032155	50	13	50.124908	20373.148813
2014-04-03 20:15:00	2456751.34375000	-31	26	34.703723	46	12	29.832617	20386.416690
2014-04-03 20:30:00	2456751.35416667	-27	13	7.448478	41	32	6.742175	20396.368103
2014-04-03 20:45:00	2456751.36458333	-24	7	29.836486	36	23	23.497714	20402.835330
2014-04-03 21:00:00	2456751.37500000	-21	54	40.298640	30	54	16.467700	20405.707922
2014-04-03 21:15:00	2456751.38541667	-20	21	36.169262	25	10	31.717958	20404.934553
2014-04-03 21:30:00	2456751.39583333	-19	17	33.725212	19	16	22.386988	20400.524018
2014-04-03 21:45:00	2456751.40625000	-18	33	47.176482	13	14	58.681087	20392.545372
2014-04-03 22:00:00	2456751.41666667	-18	2	57.368519	7	8	50.115060	20381.127190
2014-04-03 22:15:00	2456751.42708333	-17	38	41.007871	1	0	1.954000	20366.455917
2014-04-03 22:30:00	2456751.43750000	-17	15	2.692845	-5	9	31.986202	20348.773322
2014-04-03 22:45:00	2456751.44791667	-16	46	8.845773	-11	17	58.302058	20328.373055
2014-04-03 23:00:00	2456751.45833333	-16	5	41.609638	-17	23	13.066160	20305.596306
2014-04-03 23:15:00	2456751.46875000	-15	6	30.631462	-23	22	49.324862	20280.826605
2014-04-03 23:30:00	2456751.47916667	-13	40	1.303169	-29	13	41.122506	20254.483814
2014-04-03 23:45:00	2456751.48958333	-11	35	40.475129	-34	51	41.758757	20227.017352
