Time(sec)	lon(deg)	lon(min)	lon(sec)	lat(deg)	lat(min)	lat(sec)	H(m)
0	53	42	58.611950	-49	34	40.303947	20003076.075363
300	55	45	5.398723	-48	14	16.710633	19998597.958884
600	57	36	52.086476	-46	48	31.354650	19994486.132295
900	59	18	45.326327	-45	17	55.857748	19990748.813848
1200	60	51	17.269864	-43	42	59.517041	19987393.479898
1500	62	15	3.335977	-42	4	9.208349	19984426.848028
1800	63	30	40.475063	-40	21	49.405410	19981854.861859
2100	64	38	45.879124	-38	36	22.277464	19979682.677565
2400	65	39	56.067100	-36	48	7.835509	19977914.652154
2700	66	34	46.271413	-34	57	24.104953	19976554.333541
3000	67	23	50.057318	-33	4	27.308813	19975604.452456
3300	68	7	39.116340	-31	9	32.050741	19975066.916207
3600	68	46	43.185969	-29	12	51.491040	19974942.804317
3900	69	21	30.058044	-27	14	37.511717	19975232.366056
4200	69	52	25.647230	-25	15	0.868557	19975935.019871
4500	70	19	54.098369	-23	14	11.329573	19977049.354714
4800	70	44	17.917332	-21	12	17.800069	19978573.133274
5100	71	5	58.114547	-19	9	28.435031	19980503.297084
5400	71	25	14.353742	-17	5	50.739929	19982835.973513
5700	71	42	25.101013	-15	1	31.661082	19985566.484585
6000	71	57	47.771140	-12	56	37.666847	19988689.357636
6300	72	11	38.869415	-10	51	14.820835	19992198.337737
6600	72	24	14.128171	-8	45	28.848321	19996086.401872
6900	72	35	48.637886	-6	39	25.196946	20000345.774806
7200	72	46	36.973153	-4	33	9.092749	20004967.946601
7500	72	56	53.314128	-2	26	45.592473	20009943.691730
7800	73	6	51.564276	0	-20	19.633068	20015263.089712
8100	73	16	45.465356	1	46	3.920771	20020915.547223
8400	73	26	48.710630	3	52	20.230204	20026889.821602
8700	73	37	15.057373	5	58	24.436192	20033174.045684
9000	73	48	18.439687	8	4	11.613005	20039755.753892
9300	74	0	13.082659	10	9	36.720491	20046621.909501
9600	74	13	13.618779	12	14	34.554307	20053758.932996
9900	74	27	35.207454	14	18	59.693276	20061152.731455
10200	74	43	33.658274	16	22	46.442980	20068788.728849
10500	75	1	25.558426	18	25	48.774673	20076651.897206
10800	75	21	28.404279	20	28	0.258523	20084726.788523
11100	75	44	0.736647	22	29	13.990164	20092997.567367
11400	76	9	22.278457	24	29	22.509461	20101448.044055
11700	76	37	54.072515	26	28	17.710423	20110061.708352
12000	77	9	58.615590	28	25	50.741161	20118821.763580
12300	77	45	59.983062	30	21	51.892954	20127711.161071
12600	78	26	23.935671	32	16	10.477639	20136712.634868
12900	79	11	37.996402	34	8	34.692969	20145808.736608
13200	80	2	11.480876	35	58	51.476190	20154981.870483
13500	80	58	35.458847	37	46	46.347094	20164214.328236
13800	82	1	22.617197	39	32	3.243264	20173488.324082
14100	83	11	6.986475	41	14	24.352374	20182786.029501
14400	84	28	23.483846	42	53	29.949296	20192089.607830
14700	85	53	47.216392	44	28	58.249735	20201381.248581
15000	87	27	52.481995	46	0	25.297028	20210643.201419
15300	89	11	11.403782	47	27	24.904788	20219857.809746
15600	91	4	12.143140	48	49	28.684592	20229007.543823
15900	93	7	16.662046	50	6	6.194312	20238075.033378
16200	95	20	38.055056	51	16	45.247070	20247043.099641
16500	97	44	17.550352	52	20	52.421066	20255894.786764
16800	100	18	1.388368	53	17	53.803250	20264613.392571
17100	103	1	17.915001	54	7	15.982013	20273182.498596
17400	105	53	15.348092	54	48	27.273551	20281585.999369
17700	108	52	40.747211	55	20	59.124379	20289808.130907
18000	111	58	0.685846	55	44	27.584454	20297833.498378
18300	115	7	23.951841	55	58	34.702804	20305647.102901
18600	118	18	46.285770	56	3	9.675083	20313234.367460
18900	121	29	56.767687	55	58	9.582925	20320581.161883
19200	124	38	45.093171	55	43	39.612877	20327673.826893
19500	127	43	8.765413	55	19	52.719746	20334499.197173
19800	130	41	19.250754	54	47	8.785991	20341044.623447
20100	133	31	46.392603	54	5	53.401588	20347297.993551
20400	136	13	20.762296	53	16	36.429945	20353247.752474
20700	138	45	14.017579	52	19	50.528901	20358882.921358
21000	141	6	57.634060	51	16	9.768343	20364193.115436
21300	143	18	20.523080	50	6	8.441042	20369168.560906
21600	145	19	26.059820	48	50	20.115441	20373800.110728
21900	147	10	28.962146	47	29	16.938654	20378079.259320
