Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
0	1644835.794764	-17022037.223146	-20078263.192097	10120291.567892	13785315.904932	-20078263.192097
300	2689333.226701	-17356038.916386	-19669547.438664	9884253.186809	14517786.987361	-19669547.438664
600	3728568.327641	-17656094.783497	-19222355.584436	9665412.153401	15238756.927079	-19222355.584436
900	4760504.983375	-17921601.700550	-18737544.804871	9463539.703054	15946398.699977	-18737544.804871
1200	5783119.865394	-18152025.114385	-18216048.301164	9278303.889703	16638917.274303	-18216048.301164
1500	6794406.678376	-18346900.274698	-17658873.478817	9109271.562827	17314556.979477	-17658873.478817
1800	7792380.382545	-18505833.311631	-17067099.952424	8955910.819879	17971608.719604	-17067099.952424
2100	8775081.378924	-18628502.155452	-16441877.380984	8817593.923370	18608416.997826	-16441877.380984
2400	9740579.646944	-18714657.295001	-15784423.138611	8693600.669503	19223386.718448	-15784423.138611
2700	10686978.823079	-18764122.372334	-15096019.826100	8583122.192956	19814989.734786	-15096019.826100
3000	11612420.209622	-18776794.611409	-14378012.629370	8485265.190209	20381771.111847	-14378012.629370
3300	12515086.702805	-18752645.079229	-13631806.531307	8399056.541696	20922355.074314	-13631806.531307
3600	13393206.629738	-18691718.778397	-12858863.384094	8323448.311027	21435450.611807	-12858863.384094
3900	14245057.483861	-18594134.570580	-12060698.849523	8257323.097637	21919856.715056	-12060698.849523
4200	15068969.548954	-18460084.930944	-11238879.215310	8199499.717403	22374467.218445	-11238879.215310
4500	15863329.402100	-18289835.534178	-10395018.095784	8148739.184170	22798275.226323	-10395018.095784
4800	16626583.286373	-18083724.673275	-9530773.025744	8103750.963579	23190377.102535	-9530773.025744
5100	17357240.344510	-17842162.512795	-8647841.956592	8063199.469282	23549976.004842	-8647841.956592
5400	18053875.705254	-17565630.178862	-7747959.664165	8025710.770421	23876384.948121	-7747959.664165
5700	18715133.414597	-17254678.688685	-6832894.077947	7989879.478252	24169029.382640	-6832894.077947
6000	19339729.204689	-16909927.722910	-5904442.541538	7954275.778959	24427449.276112	-5904442.541538
6300	19926453.093741	-16532064.244589	-4964428.014446	7917452.579036	24651300.690693	-4964428.014446
6600	20474171.810846	-16121840.969037	-4014695.225397	7877952.729156	24840356.848648	-4014695.225397
6900	20981831.040268	-15680074.689310	-3057106.787416	7834316.292152	24994508.682893	-3057106.787416
7200	21448457.480358	-15207644.462429	-2093539.284976	7785087.820633	25113764.871230	-2093539.284976
7500	21873160.712917	-14705489.661923	-1125879.343534	7728823.609842	25198251.355560	-1125879.343534
7800	22255134.879472	-14174607.902579	-156019.691653	7664098.891628	25248210.349937	-156019.691653
8100	22593660.161579	-13616052.843672	814144.774112	7589514.935845	25263998.843753	814144.774112
8400	22888104.062942	-13030931.877222	1782720.911578	7503706.026106	25246086.608792	1782720.911578
8700	23137922.491771	-12420403.708115	2747821.232718	7405346.277610	25195053.721246	2747821.232718
9000	23342660.642490	-11785675.833103	3707567.771235	7293156.265715	25111587.612043	3707567.771235
