Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
0	-8527954.178132	14823266.628972	-20078263.192097	10120291.567892	13785315.904932	-20078263.192097
300	-9617154.358640	14696085.945361	-19669547.438664	9884253.186809	14517786.987361	-19669547.438664
600	-10687542.668845	14540162.876644	-19222355.584436	9665412.153401	15238756.927079	-19222355.584436
900	-11737015.630282	14355789.051961	-18737544.804871	9463539.703054	15946398.699977	-18737544.804871
1200	-12763509.760838	14143313.250994	-18216048.301164	9278303.889703	16638917.274303	-18216048.301164
1500	-13765005.888295	13903140.821271	-17658873.478817	9109271.562827	17314556.979477	-17658873.478817
1800	-14739533.564644	13635732.795890	-17067099.952424	8955910.819879	17971608.719604	-17067099.952424
2100	-15685175.070839	13341605.179271	-16441877.380984	8817593.923370	18608416.997826	-16441877.380984
2400	-16600069.623340	13021327.813555	-15784423.138611	8693600.669503	19223386.718448	-15784423.138611
2700	-17482417.274737	12675523.302840	-15096019.826100	8583122.192956	19814989.734786	-15096019.826100
3000	-18330482.855068	12304865.594713	-14378012.629370	8485265.190209	20381771.111847	-14378012.629370
3300	-19142599.485951	11910078.822860	-13631806.531307	8399056.541696	20922355.074314	-13631806.531307
3600	-19917172.228125	11491935.657355	-12858863.384094	8323448.311027	21435450.611807	-12858863.384094
3900	-20652681.398422	11051255.774917	-12060698.849523	8257323.097637	21919856.715056	-12060698.849523
4200	-21347685.868001	10588903.956790	-11238879.215310	8199499.717403	22374467.218445	-11238879.215310
4500	-22000825.931456	10105788.535317	-10395018.095784	8148739.184170	22798275.226323	-10395018.095784
4800	-22610826.239499	9602859.293183	-9530773.025744	8103750.963579	23190377.102535	-9530773.025744
5100	-23176498.389920	9081105.543496	-8647841.956592	8063199.469282	23549976.004842	-8647841.956592
5400	-23696743.444419	8541553.821799	-7747959.664165	8025710.770421	23876384.948121	-7747959.664165
5700	-24170554.031619	7985266.005618	-6832894.077947	7989879.478252	24169029.382640	-6832894.077947
6000	-24597016.445934	7413336.850786	-5904442.541538	7954275.778959	24427449.276112	-5904442.541538
6300	-24975312.408567	6826891.765564	-4964428.014446	7917452.579036	24651300.690693	-4964428.014446
6600	-25304720.705895	6227084.194680	-4014695.225397	7877952.729156	24840356.848648	-4014695.225397
6900	-25584618.446972	5615093.497668	-3057106.787416	7834316.292152	24994508.682893	-3057106.787416
7200	-25814482.243057	4992122.284687	-2093539.284976	7785087.820633	25113764.871230	-2093539.284976
7500	-25993889.135090	4359393.696684	-1125879.343534	7728823.609842	25198251.355560	-1125879.343534
7800	-26122517.192606	3718149.165554	-156019.691653	7664098.891628	25248210.349937	-156019.691653
8100	-26200146.003150	3069645.574356	814144.774112	7589514.935845	25263998.843753	814144.774112
8400	-26226656.867389	2415152.737421	1782720.911578	7503706.026106	25246086.608792	1782720.911578
8700	-26202032.808373	1755950.516597	2747821.232718	7405346.277610	25195053.721246	2747821.232718
9000	-26126358.296841	1093326.510486	3707567.771235	7293156.265715	25111587.612043	3707567.771235
