Obs_ID	S (m)	Sr (m)	Xs (m)	Ys (m)	Zs (m)
OBS01	24494865.592775	24494865.655270	7293156.766899	25111588.505084	3707567.827502
OBS02	24352553.546317	24352553.569408	7165910.247165	24996479.704064	4660096.061256
OBS03	24212701.520689	24212701.438713	7022437.725574	24850620.949551	5603557.714395
OBS04	24075301.166161	24075301.167883	6861639.246966	24674999.375209	6536128.291377
OBS05	23940337.712777	23940337.722866	6682483.176348	24470694.019147	7456003.636503
OBS06	23807790.853874	23807790.743996	6484010.709050	24238868.300818	8361408.570097
OBS07	23677635.673716	23677635.778652	6265346.684351	23980769.170072	9250603.816720
OBS08	23549843.612729	23549843.510089	6025701.974613	23697714.296238	10121880.246143
OBS09	23424383.463474	23424383.447666	5764372.423169	23391095.016300	10973566.990656
OBS10	23301222.390204	23301222.534065	5480753.747279	23062364.833853	11804037.077894
OBS11	23180326.964733	23180327.096307	5174331.967466	22713030.639881	12611710.080453
OBS12	23061664.211150	23061664.178116	4844695.794173	22344649.897099	13395045.674609
OBS13	22945202.651855	22945202.663753	4491532.323761	21958825.254763	14152558.586357
OBS14	22830913.347388	22830913.494389	4114637.038422	21557193.445487	14882820.402262
OBS15	22718770.922524	22718770.960502	3713907.533880	21141417.403554	15584451.725659
OBS16	22608754.571168	22608754.515913	3289348.274279	20713182.452589	16256133.013534
OBS17	22500849.032685	22500848.860462	2841072.058320	20274193.035121	16896606.221163
OBS18	22395045.532411	22395045.514673	2369294.628921	19826152.278951	17504677.588822
OBS19	22291342.679219	22291342.806740	1874340.857740	19370766.286544	18079214.043516
OBS20	22189747.313170	22189747.493178	1356644.409893	18909735.194332	18619153.594263
OBS21	22090275.296433	22090275.414837	816740.235597	18444741.640200	19123498.041438
OBS22	21992952.240791	21992952.185897	255265.861291	17977447.804693	19591323.794411
OBS23	21897814.165252	21897814.105310	-327039.531263	17509483.380820	20021773.048013
OBS24	21804908.077419	21804908.081066	-929339.791099	17042447.547315	20414068.188134
OBS25	21714292.472433	21714292.513080	-1550697.763625	16577895.355938	20767496.508973
OBS26	21626037.743505	21626037.611482	-2190094.100810	16117330.054496	21081429.984204
OBS27	21540226.498212	21540226.498602	-2846414.504996	15662204.487787	21355308.427980
OBS28	21456953.774980	21456953.717155	-3518462.482786	15213909.355149	21588651.125241
OBS29	21376327.154374	21376327.030423	-4204961.863786	14773769.130885	21781056.533690
OBS30	21298466.760146	21298466.883814	-4904563.285345	14343037.442329	21932197.454171
OBS31	21223505.145322	21223505.090439	-5615846.968812	13922890.493271	22041825.413387
OBS32	21151587.059037	21151587.003218	-6337328.680578	13514427.986433	22109772.441780
OBS33	21082869.090333	21082869.209232	-7067467.089573	13118658.307969	22135944.245087
OBS34	21017519.185764	21017519.268857	-7804667.078870	12736508.082849	22120329.572972
OBS35	20955716.038398	20955716.108416	-8547287.678518	12368807.202265	22062991.530485
OBS36	20897648.346671	20897648.178121	-9293647.532923	12016294.842914	21964071.620765
OBS37	20843513.942594	20843513.995092	-10042032.701390	11679605.948757	21823788.118727
OBS38	20793518.789992	20793518.649294	-10790699.857039	11359285.153232	21642432.091192
OBS39	20747875.854798	20747875.916898	-11537886.670481	11055766.076984	21420378.890306
OBS40	20706803.850947	20706803.746558	-12281817.136668	10769388.936414	21158069.232448
OBS41	20670525.867040	20670525.917407	-13020709.709584	10500383.180756	20856021.505787
OBS42	20639267.880771	20639267.804313	-13752780.094867	10248878.202655	20514827.982778
OBS43	20613257.169985	20613257.132840	-14476252.949574	10014900.145243	20135148.122646
OBS44	20592720.631187	20592720.494705	-15189366.024367	9798370.455792	19717716.525149
OBS45	20577883.018351	20577883.061614	-15890376.112674	9599106.373881	19263332.257877
OBS46	20568965.116814	20568965.228214	-16577570.425911	9416831.154015	18772863.358812
OBS47	20566181.868919	20566181.977700	-17249265.850258	9251162.563356	18247239.884044
OBS48	20569740.469835	20569740.338853	-17903822.957779	9101624.328674	17687463.143208
OBS49	20579838.453453	20579838.637609	-18539643.306144	8967641.739985	17094587.221748
