Obs_ID	S (m)	Sr (m)	Xs (m)	Ys (m)	Zs (m)
OBS01	24396797.293231	24396797.298647	7503705.763907	25246087.601731	1782721.236169
OBS02	24252334.958695	24252335.113661	7405346.306574	25195052.732075	2747820.986332
OBS03	24110935.441949	24110935.290668	7293156.766899	25111588.505084	3707567.827502
OBS04	23972608.507808	23972608.490345	7165910.247165	24996479.704064	4660096.061256
OBS05	23837353.585437	23837353.486760	7022437.725574	24850620.949551	5603557.714395
OBS06	23705160.517231	23705160.542553	6861639.246966	24674999.375209	6536128.291377
OBS07	23576010.377988	23576010.283220	6682483.176348	24470694.019147	7456003.636503
OBS08	23449876.358485	23449876.210027	6484010.709050	24238868.300818	8361408.570097
OBS09	23326724.706916	23326724.905438	6265346.684351	23980769.170072	9250603.816720
OBS10	23206515.721129	23206515.731638	6025701.974613	23697714.296238	10121880.246143
OBS11	23089204.784135	23089204.599804	5764372.423169	23391095.016300	10973566.990656
OBS12	22974743.434935	22974743.399576	5480753.747279	23062364.833853	11804037.077894
OBS13	22863080.466495	22863080.285799	5174331.967466	22713030.639881	12611710.080453
OBS14	22754163.042427	22754162.927917	4844695.794173	22344649.897099	13395045.674609
OBS15	22647937.823848	22647937.976272	4491532.323761	21958825.254763	14152558.586357
OBS16	22544352.097846	22544351.913104	4114637.038422	21557193.445487	14882820.402262
OBS17	22443354.898985	22443354.974261	3713907.533880	21141417.403554	15584451.725659
OBS18	22344898.115405	22344898.053297	3289348.274279	20713182.452589	16256133.013534
OBS19	22248937.571210	22248937.391289	2841072.058320	20274193.035121	16896606.221163
OBS20	22155434.077012	22155433.914248	2369294.628921	19826152.278951	17504677.588822
OBS21	22064354.440760	22064354.419416	1874340.857740	19370766.286544	18079214.043516
OBS22	21975672.431217	21975672.614555	1356644.409893	18909735.194332	18619153.594263
OBS23	21889369.686747	21889369.757093	816740.235597	18444741.640200	19123498.041438
OBS24	21805436.562328	21805436.518999	255265.861291	17977447.804693	19591323.794411
OBS25	21723872.908054	21723873.041702	-327039.531263	17509483.380820	20021773.048013
OBS26	21644688.772646	21644688.919894	-929339.791099	17042447.547315	20414068.188134
OBS27	21567905.025813	21567905.015181	-1550697.763625	16577895.355938	20767496.508973
OBS28	21493553.893600	21493553.972291	-2190094.100810	16117330.054496	21081429.984204
OBS29	21421679.401166	21421679.420283	-2846414.504996	15662204.487787	21355308.427980
OBS30	21352337.717757	21352337.865707	-3518462.482786	15213909.355149	21588651.125241
OBS31	21285597.398937	21285597.263936	-4204961.863786	14773769.130885	21781056.533690
OBS32	21221539.521526	21221539.382046	-4904563.285345	14343037.442329	21932197.454171
OBS33	21160257.707037	21160257.514093	-5615846.968812	13922890.493271	22041825.413387
OBS34	21101858.029870	21101857.896808	-6337328.680578	13514427.986433	22109772.441780
OBS35	21046458.806967	21046458.767740	-7067467.089573	13118658.307969	22135944.245087
OBS36	20994190.266205	20994190.400678	-7804667.078870	12736508.082849	22120329.572972
OBS37	20945194.091438	20945194.025662	-8547287.678518	12368807.202265	22062991.530485
OBS38	20899622.842855	20899622.816551	-9293647.532923	12016294.842914	21964071.620765
OBS39	20857639.252114	20857639.255560	-10042032.701390	11679605.948757	21823788.118727
OBS40	20819415.392737	20819415.398086	-10790699.857039	11359285.153232	21642432.091192
OBS41	20785131.727312	20785131.835457	-11537886.670481	11055766.076984	21420378.890306
OBS42	20754976.034237	20754976.045758	-12281817.136668	10769388.936414	21158069.232448
OBS43	20729142.218134	20729142.130235	-13020709.709584	10500383.180756	20856021.505787
OBS44	20707829.009458	20707828.878640	-13752780.094867	10248878.202655	20514827.982778
OBS45	20691238.560419	20691238.699898	-14476252.949574	10014900.145243	20135148.122646
OBS46	20679574.945923	20679574.827249	-15189366.024367	9798370.455792	19717716.525149
OBS47	20673042.579947	20673042.667894	-15890376.112674	9599106.373881	19263332.257877
OBS48	20671844.559406	20671844.520735	-16577570.425911	9416831.154015	18772863.358812
OBS49	20676180.949242	20676180.760508	-17249265.850258	9251162.563356	18247239.884044
OBS50	20686247.024020	20686247.205071	-17903822.957779	9101624.328674	17687463.143208
OBS51	20702231.482716	20702231.311844	-18539643.306144	8967641.739985	17094587.221748
OBS52	20724314.654665	20724314.485092	-19155187.057433	8848556.854866	16469732.300040
OBS53	20752666.715553	20752666.826025	-19748969.600354	8743616.767367	15814073.003480
OBS54	20787445.933081	20787445.767885	-20319568.144568	8651988.381929	15128841.533775
OBS55	20828796.962249	20828797.134468	-20865634.312729	8572755.898679	14415322.621088
OBS56	20876849.210148	20876849.346426	-21385890.826414	8504930.649028	13674854.012461
OBS57	20931715.289743	20931715.423730	-21879136.252868	8447452.055939	12908822.608919
OBS58	20993489.581240	20993489.447892	-22344259.686134	8399192.052468	12118656.849124
OBS59	21062246.918345	21062246.768272	-22780233.398160	8358966.781506	11305836.104050
OBS60	21138041.415090	21138041.368417	-23186125.704214	8325531.290633	10471876.452164
OBS61	21220905.446803	21220905.622149	-23561093.251160	8297597.357440	9618335.156927
OBS62	21310848.796534	21310848.739059	-23904396.380674	8273831.536087	8746803.189430
OBS63	21407857.975593	21407858.078328	-24215395.111488	8252864.313442	7858911.386462
OBS64	21511895.724126	21511895.578497	-24493553.191483	8233293.027066	6956314.444527
OBS65	21622900.694807	21622900.556092	-24738439.864570	8213693.661380	6040696.151372
OBS66	21740787.319853	21740787.311429	-24949727.580230	8192627.936142	5113768.222875
OBS67	21865445.858755	21865445.775699	-25127204.377449	8168640.518641	4177260.930169
OBS68	21996742.621553	21996742.542891	-25270755.998438	8140279.986014	3232927.891323
OBS69	22134520.359973	22134520.317411	-25380388.511798	8106090.892729	2282532.243653
OBS70	22278598.816686	22278598.960473	-25456206.603565	8064633.121093	1327855.348502
